type,hub,capacity_tonPerDay,fixed_usdPerTonPerDay,capital_usdPerTonPerDay,kWh_perTon,ng_mmbtu_per_tonH2,variable_usdPerTon,co2_emissions_per_h2_tons,can_ccs1,can_ccs2,utilization
smr-noCCS,baytown,482,70,0,640,144,100,9,1,1,0.9
smr-noCCS,channelview,241,70,0,640,144,100,9,1,1,0.9
smr-noCCS,freeport,482,70,0,640,144,100,9,1,1,0.9
smr-noCCS,laPorte,1264,70,0,640,144,100,9,1,1,0.9
smr-noCCS,montBelvieu,241,70,0,640,144,100,9,1,1,0.9
smr-noCCS,pasadena,482,70,0,640,144,100,9,1,1,0.9
smr-noCCS,portArthur,1927,70,0,640,144,100,9,1,1,0.9
smr-noCCS,texasCity,3252,70,0,640,144,100,9,1,1,0.9
smr-noCCS,lasCrucesL,1046.375,70,0,640,144,100,9,1,1,0.9
smr-noCCS,lordsburgL,1116.921875,70,0,640,144,100,9,1,1,0.9
coachellaL,willcoxL,1226.412109,70,0,640,144,100,9,1,1,0.9
smr-noCCS,bensonL,1319.463623,70,0,640,144,100,9,1,1,0.9
smr-noCCS,eloyL,1326.396576,70,0,640,144,100,9,1,1,0.9
smr-noCCS,chandlerL,1462.071148,70,0,640,144,100,9,1,1,0.9
smr-noCCS,tollesonL,1584.580041,70,0,640,144,100,9,1,1,0.9
smr-noCCS,buckeyeL,1541.777547,70,0,640,144,100,9,1,1,0.9
smr-noCCS,quartzsiteL,1327.99974,70,0,640,144,100,9,1,1,0.9
smr-noCCS,coachellaL,1363.202832,70,0,640,144,100,9,1,1,0.9
