hub,latitude,longitude,type,status
3944,32.076,-111.313,distribution,1
4131,33.066,-112.048,distribution,1
4524,34.781,-111.763,distribution,1
6740,38.444,-120.533,distribution,1
6932,36.852,-119.683,distribution,1
7992,38.918,-121.06,distribution,1
10795,33.051,-116.844,distribution,1
14967,37.774,-121.979,distribution,1
13756,33.979,-118.119,distribution,1
72064,34.517,-106.247,distribution,1
96241,27.684,-99.461,distribution,1
96675,29.419,-98.589,distribution,1
99820,32.896,-96.871,distribution,1
102098,29.738,-95.535,distribution,1
102557,30.353,-94.074,distribution,1
102826,27.593,-97.782,distribution,1
103914,30.285,-97.661,distribution,1
106128,31.74,-99.944,distribution,1
107761,31.302,-105.842,distribution,1
4612,35.203,-111.408,distribution,1
6590,35.988,-119.96,distribution,1
15427,34.848,-117.082,distribution,1
72063,34.996,-105.377,distribution,1
98014,32.448,-100.442,distribution,1
99923,32.736,-101.95,distribution,1
107700,34.291,-99.749,distribution,1
110122,28.112,-97.82,distribution,1
4388,35.041,-110.697,distribution,1
4452,31.964,-110.344,distribution,1
9782,33.721,-116.203,distribution,1
12053,34.392,-118.47,distribution,1
15535,34.724,-116.164,distribution,1
71635,35.114,-103.302,distribution,1
96040,30.073,-99.234,distribution,1
98017,32.487,-100.209,distribution,1
102507,32.259,-101.454,distribution,1
108208,31.04,-104.82,distribution,1
4089,32.879,-111.69,distribution,1
71686,34.425,-103.627,distribution,1
5978,35.055,-118.174,distribution,1
107010,33.858,-98.536,distribution,1
72105,31.847,-106.624,distribution,1
98043,30.902,-102.912,distribution,1
5094,33.495,-112.936,distribution,1
97987,31.47,-98.568,distribution,1
8749,37.705,-121.91,distribution,1
107617,30.7,-101.207,distribution,1
7966,38.791,-121.313,distribution,1
4704,33.306,-111.964,distribution,1
97954,30.543,-98.357,distribution,1
4507,35.219,-112.499,distribution,1
98063,30.856,-102.07,distribution,1
109093,31.129,-99.335,distribution,1
14201,37.812,-121.294,distribution,1
107706,34.256,-99.51,distribution,1
71817,32.234,-108.953,distribution,1
107575,29.692,-96.539,distribution,1
100303,34.941,-100.894,distribution,1
107195,28.994,-98.429,distribution,1
6392,38.576,-121.55,distribution,1
104301,30.008,-97.139,distribution,1
97689,32.198,-96.9,distribution,1
103349,32.635,-100.764,distribution,1
4400,34.974,-110.09,distribution,1
109323,31.066,-104.142,distribution,1
107687,31.705,-98.129,distribution,1
96087,31.258,-95.986,distribution,1
100372,30.377,-96.069,distribution,1
4093,33.028,-111.772,distribution,1
7080,37.017,-120.13,distribution,1
5944,35.352,-119.123,distribution,1
71763,35.179,-107.904,distribution,1
5954,35.127,-118.413,distribution,1
95899,32.046,-97.091,distribution,1
3700,33.411,-110.843,distribution,1
5947,34.983,-118.947,distribution,1
71769,35.038,-107.374,distribution,1
71816,32.341,-108.714,distribution,1
96119,30.988,-94.825,distribution,1
103515,30.429,-97.682,distribution,1
103399,32.489,-99.748,distribution,1
4254,33.657,-114.242,distribution,1
4287,35.191,-114.07,distribution,1
100475,29.765,-95.752,distribution,1
102642,30.507,-99.776,distribution,1
4219,35.354,-109.057,distribution,1
72049,35.01,-105.668,distribution,1
4024,32.713,-114.668,distribution,1
104199,33.184,-102.817,distribution,1
4395,34.257,-110.024,distribution,1
108027,33.54,-97.835,distribution,1
97978,30.868,-96.973,distribution,1
72146,34.946,-104.637,distribution,1
97797,33.192,-101.378,distribution,1
4122,32.647,-111.391,distribution,1
95776,29.851,-97.975,distribution,1
4039,32.691,-113.954,distribution,1
107805,31.055,-98.179,distribution,1
107762,31.173,-105.358,distribution,1
4306,34.779,-114.483,distribution,1
103269,31.399,-103.481,distribution,1
4705,33.437,-112.137,distribution,1
71615,32.273,-107.714,distribution,1
5966,35.532,-119.188,distribution,1
98241,33.19,-102.274,distribution,1
71843,34.048,-106.892,distribution,1
104284,30.121,-97.432,distribution,1
11873,37.673,-121.032,distribution,1
71861,35.481,-108.433,distribution,1
4248,33.624,-114.437,distribution,1
107760,31.169,-105.657,distribution,1
9389,32.796,-115.562,distribution,1
10250,33.661,-115.72,distribution,1
108127,31.837,-100.994,distribution,1
9661,37.939,-120.608,distribution,1
4205,34.133,-109.277,distribution,1
4740,32.93,-112.673,distribution,1
5956,34.819,-118.884,distribution,1
96359,33.393,-97.73,distribution,1
4256,33.634,-113.769,distribution,1
4713,33.437,-112.41,distribution,1
6134,35.012,-117.644,distribution,1
71837,34.245,-105.596,distribution,1
98776,32.988,-96.842,distribution,1
105243,31.315,-95.436,distribution,1
97671,32.535,-96.665,distribution,1
4283,34.864,-114.143,distribution,1
107644,32.096,-98.966,distribution,1
71623,32.239,-107.409,distribution,1
71852,35.506,-108.836,distribution,1
105567,33.578,-101.953,distribution,1
96096,31.093,-95.964,distribution,1
102692,32.137,-101.805,distribution,1
3905,32.046,-111.265,distribution,1
98382,30.64,-96.249,distribution,1
4463,32.081,-110.051,distribution,1
6784,36.577,-119.632,distribution,1
1,40.64754081,-123.1040176,trinityCA,1
2,39.03361022,-121.6882005,sutterCA,1
3,37.64275382,-121.8775366,alamedaCA,1
4,36.7542967,-119.641139,fresnoCA,1
5,35.84145071,-111.759932,coconinoAZ,1
6,35.57978793,-108.2602922,mckinleyNM,1
7,35.48868267,-104.8042461,sanMiguelNM,1
8,34.84387259,-116.1759926,sanBernardinoCA,1
9,35.40342547,-101.3557841,carsonTX,1
10,33.73341025,-113.9782551,laPazAZ,1
11,33.36674668,-104.4555334,chavesNM,1
12,33.6126553,-101.820058,lubbockTX,1
13,33.61483029,-99.21047316,baylorTX,1
14,33.13291115,-107.182938,sierraNM,1
15,34.32209948,-118.2225598,losAngelesCA,1
16,32.91428377,-111.3483757,pinalAZ,1
17,32.77382278,-96.77460664,dallasTX,1
18,32.30319236,-99.89062332,taylorTX,1
19,32.30518004,-101.9509324,martinTX,1
20,31.89035773,-109.7507191,cochiseAZ,1
21,31.62004685,-94.61748025,nacogdochesTX,1
22,31.49944535,-98.59233682,millsTX,1
23,30.7171973,-104.1414386,jeffDavisTX,1
24,30.89254422,-100.5366337,schleicherTX,1
25,30.15482974,-94.81749325,libertyTX,1
26,29.84087424,-97.63039017,caldwellTX,1
27,29.34873755,-100.4193132,kinneyTX,1
28,28.34334911,-99.102014,laSalleTX,1
29,28.00346828,-97.51134264,sanPatricioTX,1
30,27.03650074,-98.22794913,brooksTX,1
